actor,movie_or_TV_name
John Ringham,Birds of a Feather
John Ringham,The Luddites
John Ringham,Hannay
John Ringham,Woof!
John Ringham,The New Statesman
John Ringham,Theban Plays: Antigone
John Ringham,Casualty
John Ringham,The Bill
John Ringham,Sherlock Holmes
John Ringham,Just Good Friends
John Ringham,Taggart
John Ringham,The Cleopatras
John Ringham,The Barchester Chronicles
John Ringham,Rating Notman
John Ringham,No Visible Scar
John Ringham,Bergerac
John Ringham,Minder
John Ringham,Pennies from Heaven
John Ringham,All Creatures Great and Small
John Ringham,Raffles
John Ringham,Rogue Male
John Ringham,The Ghosts of Motley Hall
John Ringham,After the Solo
John Ringham,Poldark
John Ringham,Angels
John Ringham,Robin Hood Junior
John Ringham,The Aweful Mr. Goodall
John Ringham,Warship
